Tiempo (ms)	Antebrazo	Cuello
1346	504	509
1347	504	509
1348	499	507
1349	503	504
1350	507	502
1351	507	498
1352	507	498
1353	508	499
1354	507	501
1355	509	502
1356	508	507
1357	507	504
1358	505	502
1359	505	503
1360	507	504
1361	504	507
1362	506	507
1363	505	508
1364	507	512
1365	510	515
1366	511	515
1367	513	516
1368	520	515
1369	525	512
1370	521	514
1371	508	516
1372	507	516
1373	508	520
1374	512	515
1375	509	512
1376	507	509
1377	507	510
1378	509	506
1379	510	507
1380	509	515
1381	504	513
1382	502	510
1383	502	506
1384	503	508
1385	504	508
1386	504	510
1387	508	506
1388	507	507
1389	504	509
1390	504	510
1391	507	511
1392	508	512
1393	507	510
1394	510	512
1395	508	512
1396	507	512
1397	508	512
1398	508	508
1399	508	507
1400	510	508
1401	511	510
1402	512	507
1403	510	507
1404	508	508
1405	508	510
1406	504	510
1407	505	511
1408	505	507
1409	504	508
1410	504	509
1411	504	507
1412	516	505
1413	512	505
1414	515	506
1415	512	510
1416	507	512
1417	505	511
1418	506	510
1419	504	508
1420	507	506
1421	506	503
1422	505	502
1423	506	507
1424	509	511
1425	508	513
1426	503	510
1427	504	511
1428	505	511
1429	502	506
1430	500	512
1431	501	511
1432	512	510
1433	516	509
1434	521	508
1435	521	505
1436	521	508
1437	512	511
1438	503	511
1439	501	506
1440	507	505
1441	512	510
1442	513	506
1443	514	511
1444	512	511
1445	510	508
1446	511	510
1447	504	510
1448	498	512
1449	501	511
1450	504	510
1451	509	510
1452	502	509
1453	496	508
1454	497	506
1455	504	509
1456	508	510
1457	509	508
1458	509	509
1459	511	508
1460	511	506
1461	509	507
1462	508	507
1463	507	508
1464	507	508
1465	507	511
1466	507	514
1467	505	508
1468	508	508
1469	506	508
1470	508	509
1471	508	509
1472	507	507
1473	509	509
1474	508	509
1475	513	509
1476	510	508
1477	508	511
1478	511	510
1479	504	512
1480	507	509
1481	507	508
1482	509	509
1483	505	509
1484	507	509
1485	510	507
1486	507	505
1487	507	506
1488	508	508
1489	506	513
1490	505	511
1491	507	509
1492	506	512
1493	510	509
1494	511	509
1495	511	510
1496	511	511
1497	508	508
1498	510	507
1499	508	510
1500	503	507
1501	500	507
1502	500	508
1503	505	512
1504	504	512
1505	503	512
1506	510	512
1507	514	508
1508	514	509
1509	516	506
1510	520	506
1511	517	507
1512	513	508
1513	509	508
1514	501	508
1515	500	505
1516	499	508
1517	509	507
1518	510	509
1519	508	509
1520	510	508
1521	512	510
1522	512	509
1523	509	508
1524	509	510
1525	504	512
1526	503	511
1527	504	511
1528	502	508
1529	504	507
1530	505	507
1531	508	506
1532	511	510
1533	509	508
1534	506	507
1535	505	512
1536	511	509
1537	518	510
1538	514	512
1539	507	510
1540	505	511
1541	503	512
1542	503	510
1543	501	511
1544	499	514
1545	506	508
1546	511	507
1547	513	508
1548	505	510
1549	505	510
1550	511	506
1551	512	508
1552	511	510
1553	512	508
1554	512	509
1555	512	508
1556	513	508
1557	507	511
1558	504	511
1559	505	513
1560	506	510
1561	507	508
1562	505	508
1563	506	507
1564	508	507
1565	506	511
1566	505	507
1567	508	507
1568	505	511
1569	503	513
1570	500	511
1571	509	508
1572	514	512
1573	515	509
1574	517	511
1575	518	509
1576	511	508
1577	507	504
1578	506	508
1579	503	505
1580	504	506
1581	510	507
1582	510	505
1583	512	513
1584	511	515
1585	506	515
1586	503	511
1587	503	508
1588	502	507
1589	508	511
1590	509	513
1591	506	512
1592	508	508
1593	504	507
1594	509	510
1595	510	511
1596	508	510
1597	510	507
1598	518	507
1599	516	510
1600	512	512
1601	505	511
1602	502	511
1603	505	504
1604	503	507
1605	505	507
1606	505	509
1607	508	515
1608	509	512
1609	513	509
1610	518	509
1611	515	510
1612	510	508
1613	501	510
1614	500	507
1615	504	508
1616	505	509
1617	505	505
1618	508	507
1619	508	508
1620	510	511
1621	507	509
1622	504	506
1623	506	509
1624	505	512
1625	511	509
1626	509	506
1627	507	507
1628	512	511
1629	512	510
1630	505	509
1631	502	512
1632	504	511
1633	506	512
1634	512	507
1635	512	511
1636	508	509
1637	507	511
1638	508	511
1639	507	510
1640	505	510
1641	507	509
1642	508	510
1643	508	507
1644	508	507
1645	509	506
1646	505	511
1647	510	513
1648	512	511
1649	509	508
1650	510	508
1651	511	510
1652	507	508
1653	507	508
1654	507	508
1655	508	501
1656	506	507
1657	504	507
1658	502	509
1659	499	510
1660	502	512
1661	510	510
1662	511	510
1663	513	507
1664	516	508
1665	514	507
1666	507	511
1667	507	508
1668	506	512
1669	503	510
1670	503	508
1671	504	508
1672	502	509
1673	504	512
1674	506	511
1675	510	511
1676	509	509
1677	512	506
1678	516	507
1679	513	512
1680	515	513
1681	515	512
1682	513	509
1683	508	507
1684	504	509
1685	501	508
1686	496	505
1687	497	505
1688	499	509
1689	501	509
1690	506	511
1691	510	508
1692	513	512
1693	512	511
1694	509	508
1695	512	509
1696	511	507
1697	514	511
1698	505	506
1699	503	505
1700	505	503
1701	512	511
1702	513	511
1703	519	512
1704	517	510
1705	511	512
1706	507	511
1707	504	507
1708	504	505
1709	505	507
1710	508	509
1711	503	510
1712	506	506
1713	509	505
1714	509	508
1715	504	511
1716	503	508
1717	507	509
1718	505	510
1719	504	511
1720	508	510
1721	509	511
1722	511	513
1723	510	511
1724	508	509
1725	509	511
1726	501	511
1727	501	512
1728	504	509
1729	505	510
1730	505	510
1731	508	511
1732	510	509
1733	511	508
1734	512	506
1735	511	508
1736	509	512
1737	510	509
1738	510	507
1739	508	505
1740	507	508
1741	510	507
1742	509	507
1743	508	508
1744	511	510
1745	511	508
1746	503	505
1747	502	504
1748	504	509
1749	502	516
1750	504	512
1751	503	511
1752	506	509
1753	506	508
1754	504	509
1755	507	507
1756	509	508
1757	514	508
1758	519	511
1759	517	512
1760	516	512
1761	512	511
1762	513	511
1763	509	510
1764	508	507
1765	507	509
1766	508	507
1767	508	509
1768	504	507
1769	507	507
1770	508	508
1771	508	511
1772	510	513
1773	507	513
1774	507	510
1775	508	511
1776	506	510
1777	501	506
1778	504	510
1779	504	513
1780	505	511
1781	505	512
1782	509	512
1783	510	508
1784	509	507
1785	508	505
1786	507	503
1787	507	505
1788	510	506
1789	509	504
1790	507	508
1791	507	512
1792	504	510
1793	503	509
1794	503	509
1795	502	507
1796	501	513
1797	509	511
1798	510	509
1799	511	510
1800	512	512
1801	510	511
1802	517	508
1803	515	511
1804	513	510
1805	509	510
1806	509	510
1807	505	508
1808	508	514
1809	509	513
1810	508	509
1811	510	507
1812	508	510
1813	504	508
1814	501	508
1815	504	509
1816	503	508
1817	502	509
1818	507	508
1819	506	508
1820	511	509
1821	510	505
1822	510	505
1823	510	510
1824	508	509
1825	507	511
1826	507	510
1827	510	510
1828	511	508
1829	509	507
1830	512	508
1831	512	510
1832	507	510
1833	502	510
1834	499	506
1835	499	508
1836	500	509
1837	503	508
1838	505	507
1839	500	510
1840	503	510
1841	510	512
1842	514	511
1843	516	511
1844	521	510
1845	521	509
1846	516	511
1847	505	508
1848	505	506
1849	505	508
1850	508	510
1851	505	508
1852	511	506
1853	508	505
1854	505	507
1855	506	507
1856	508	509
1857	503	510
1858	506	512
1859	506	512
1860	508	507
1861	509	507
1862	512	505
1863	512	510
1864	510	510
1865	512	514
1866	509	513
1867	504	512
1868	505	510
1869	507	506
1870	507	506
1871	499	508
1872	502	507
1873	507	508
1874	508	509
1875	511	509
1876	514	509
1877	516	509
1878	511	508
1879	508	509
1880	503	509
1881	499	510
1882	502	510
1883	506	512
1884	508	513
1885	510	511
1886	508	507
1887	512	510
1888	512	506
1889	511	507
1890	508	507
1891	504	513
1892	503	512
1893	504	510
1894	504	510
1895	507	511
1896	508	508
1897	507	511
1898	504	509
1899	506	512
1900	507	510
1901	503	507
1902	504	505
1903	509	504
1904	510	505
1905	514	511
1906	511	507
1907	516	509
1908	515	512
1909	511	507
1910	509	507
1911	509	507
1912	508	509
1913	510	514
1914	506	514
1915	502	514
1916	505	511
1917	508	504
1918	510	504
1919	506	509
1920	507	507
1921	510	508
1922	511	506
1923	508	509
1924	508	509
1925	507	510
1926	508	510
1927	511	509
1928	508	509
1929	505	510
1930	505	508
1931	506	508
1932	505	512
1933	502	517
1934	502	514
1935	505	509
1936	507	508
1937	507	507
1938	509	510
1939	512	509
1940	514	507
1941	511	504
1942	508	506
1943	507	507
1944	510	508
1945	512	507
1946	513	508
1947	507	509
1948	507	508
1949	504	507
1950	505	506
1951	504	506
1952	506	508
1953	504	509
1954	503	509
1955	506	508
1956	510	508
1957	508	508
1958	507	508
1959	506	511
1960	508	512
1961	514	507
1962	515	509
1963	514	506
1964	516	509
1965	512	513
1966	508	515
1967	503	513
1968	505	512
1969	507	510
1970	506	509
1971	503	511
1972	504	508
1973	502	510
1974	502	507
1975	504	511
1976	504	511
1977	507	512
1978	509	511
1979	511	510
1980	511	510
1981	510	510
1982	511	507
1983	512	512
1984	510	511
1985	507	508
1986	503	508
1987	505	508
1988	506	505
1989	510	507
1990	509	509
1991	505	509
1992	506	508
1993	510	510
1994	507	512
1995	508	512
1996	505	510
1997	504	507
1998	507	509
1999	508	507
2000	513	506
2001	513	504
2002	512	497
2003	509	498
2004	507	499
2005	504	502
2006	496	504
2007	504	503
2008	510	507
2009	512	507
2010	512	505
2011	508	504
2012	513	504
2013	512	510
2014	511	514
2015	511	512
2016	511	516
2017	505	515
2018	503	513
2019	505	515
2020	504	513
2021	505	513
2022	508	514
2023	510	513
2024	511	511
2025	508	513
2026	504	514
2027	505	510
2028	505	511
2029	504	512
2030	508	511
2031	507	511
2032	512	508
2033	509	508
2034	507	512
2035	506	511
2036	511	508
2037	512	505
2038	508	508
2039	504	510
2040	504	509
2041	505	511
2042	504	513
2043	509	512
2044	510	507
2045	511	510
2046	508	511
2047	513	508
2048	511	506
2049	507	510
2050	503	510
2051	506	511
2052	508	508
2053	509	508
2054	512	506
2055	516	504
2056	513	505
2057	512	507
2058	511	508
2059	507	510
2060	503	509
2061	502	507
2062	505	509
2063	505	510
2064	504	506
2065	504	505
2066	510	505
2067	512	509
2068	504	508
2069	499	509
2070	501	507
2071	505	505
2072	509	508
2073	511	510
2074	514	510
2075	513	511
2076	511	509
2077	513	510
2078	515	511
2079	510	507
2080	510	509
2081	504	512
2082	500	512
2083	501	511
2084	500	512
2085	506	509
2086	510	512
2087	514	508
2088	510	508
2089	506	508
